id,source_encoding,source_bytes,target_dc,comments
1,ascii,00,0,ASCII
2,ascii,01,208,
3,ascii,02,209,
4,ascii,03,210,
5,ascii,04,211,
6,ascii,05,212,
7,ascii,06,213,
8,ascii,07,214,
9,ascii,08,116,
10,ascii,09,117,
11,ascii,0A,120,
12,ascii,0B,118,
13,ascii,0C,193,
14,ascii,0D,121,
15,ascii,0E,215,
16,ascii,0F,216,
17,ascii,10,217,
18,ascii,11,218,
19,ascii,12,219,
20,ascii,13,220,
21,ascii,14,221,
22,ascii,15,222,
23,ascii,16,223,
24,ascii,17,224,
25,ascii,18,225,
26,ascii,19,226,
27,ascii,1A,227,
28,ascii,1B,228,
29,ascii,1C,229,
30,ascii,1D,230,
31,ascii,1E,231,
32,ascii,1F,232,
33,ascii,20,18,
34,ascii,21,19,
35,ascii,22,20,
36,ascii,23,21,
37,ascii,24,22,
38,ascii,25,23,
39,ascii,26,24,
40,ascii,27,25,
41,ascii,28,26,
42,ascii,29,27,
43,ascii,2A,28,
44,ascii,2B,29,
45,ascii,2C,30,
46,ascii,2D,233,
47,ascii,2E,32,
48,ascii,2F,33,
49,ascii,30,34,
50,ascii,31,35,
51,ascii,32,36,
52,ascii,33,37,
53,ascii,34,38,
54,ascii,35,39,
55,ascii,36,40,
56,ascii,37,41,
57,ascii,38,42,
58,ascii,39,43,
59,ascii,3A,44,
60,ascii,3B,45,
61,ascii,3C,46,
62,ascii,3D,47,
63,ascii,3E,48,
64,ascii,3F,49,
65,ascii,40,1,
66,ascii,41,50,
67,ascii,42,51,
68,ascii,43,52,
69,ascii,44,53,
70,ascii,45,54,
71,ascii,46,55,
72,ascii,47,56,
73,ascii,48,57,
74,ascii,49,58,
75,ascii,4A,59,
76,ascii,4B,60,
77,ascii,4C,61,
78,ascii,4D,62,
79,ascii,4E,63,
80,ascii,4F,64,
81,ascii,50,65,
82,ascii,51,66,
83,ascii,52,67,
84,ascii,53,68,
85,ascii,54,69,
86,ascii,55,70,
87,ascii,56,71,
88,ascii,57,72,
89,ascii,58,73,
90,ascii,59,74,
91,ascii,5A,75,
92,ascii,5B,76,
93,ascii,5C,77,
94,ascii,5D,78,
95,ascii,5E,79,
96,ascii,5F,80,
97,ascii,60,81,
98,ascii,61,82,
99,ascii,62,83,
100,ascii,63,84,
101,ascii,64,85,
102,ascii,65,86,
103,ascii,66,87,
104,ascii,67,88,
105,ascii,68,89,
106,ascii,69,90,
107,ascii,6A,91,
108,ascii,6B,92,
109,ascii,6C,93,
110,ascii,6D,94,
111,ascii,6E,95,
112,ascii,6F,96,
113,ascii,70,97,
114,ascii,71,98,
115,ascii,72,99,
116,ascii,73,100,
117,ascii,74,101,
118,ascii,75,102,
119,ascii,76,103,
120,ascii,77,104,
121,ascii,78,105,
122,ascii,79,106,
123,ascii,7A,107,
124,ascii,7B,108,
125,ascii,7C,109,
126,ascii,7D,110,
127,ascii,7E,111,
128,ascii,7F,234,
129,unicode,0,0,Unicode
130,unicode,1,208,
131,unicode,2,209,
132,unicode,3,210,
133,unicode,4,211,
134,unicode,5,212,
135,unicode,6,213,
136,unicode,7,214,
137,unicode,8,116,
138,unicode,9,117,
139,unicode,A,120,
140,unicode,B,118,
141,unicode,C,193,
142,unicode,D,121,
143,unicode,E,215,
144,unicode,F,216,
145,unicode,10,217,
146,unicode,11,218,
147,unicode,12,219,
148,unicode,13,220,
149,unicode,14,221,
150,unicode,15,222,
151,unicode,16,223,
152,unicode,17,224,
153,unicode,18,225,
154,unicode,19,226,
155,unicode,1A,227,
156,unicode,1B,228,
157,unicode,1C,229,
158,unicode,1D,230,
159,unicode,1E,231,
160,unicode,1F,232,
161,unicode,20,18,
162,unicode,21,19,
163,unicode,22,20,
164,unicode,23,21,
165,unicode,24,22,
166,unicode,25,23,
167,unicode,26,24,
168,unicode,27,25,
169,unicode,28,26,
170,unicode,29,27,
171,unicode,2A,28,
172,unicode,2B,29,
173,unicode,2C,30,
174,unicode,2D,233,
175,unicode,2E,32,
176,unicode,2F,33,
177,unicode,30,34,
178,unicode,31,35,
179,unicode,32,36,
180,unicode,33,37,
181,unicode,34,38,
182,unicode,35,39,
183,unicode,36,40,
184,unicode,37,41,
185,unicode,38,42,
186,unicode,39,43,
187,unicode,3A,44,
188,unicode,3B,45,
189,unicode,3C,46,
190,unicode,3D,47,
191,unicode,3E,48,
192,unicode,3F,49,
193,unicode,40,1,
194,unicode,41,50,
195,unicode,42,51,
196,unicode,43,52,
197,unicode,44,53,
198,unicode,45,54,
199,unicode,46,55,
200,unicode,47,56,
201,unicode,48,57,
202,unicode,49,58,
203,unicode,4A,59,
204,unicode,4B,60,
205,unicode,4C,61,
206,unicode,4D,62,
207,unicode,4E,63,
208,unicode,4F,64,
209,unicode,50,65,
210,unicode,51,66,
211,unicode,52,67,
212,unicode,53,68,
213,unicode,54,69,
214,unicode,55,70,
215,unicode,56,71,
216,unicode,57,72,
217,unicode,58,73,
218,unicode,59,74,
219,unicode,5A,75,
220,unicode,5B,76,
221,unicode,5C,77,
222,unicode,5D,78,
223,unicode,5E,79,
224,unicode,5F,80,
225,unicode,60,81,
226,unicode,61,82,
227,unicode,62,83,
228,unicode,63,84,
229,unicode,64,85,
230,unicode,65,86,
231,unicode,66,87,
232,unicode,67,88,
233,unicode,68,89,
234,unicode,69,90,
235,unicode,6A,91,
236,unicode,6B,92,
237,unicode,6C,93,
238,unicode,6D,94,
239,unicode,6E,95,
240,unicode,6F,96,
241,unicode,70,97,
242,unicode,71,98,
243,unicode,72,99,
244,unicode,73,100,
245,unicode,74,101,
246,unicode,75,102,
247,unicode,76,103,
248,unicode,77,104,
249,unicode,78,105,
250,unicode,79,106,
251,unicode,7A,107,
252,unicode,7B,108,
253,unicode,7C,109,
254,unicode,7D,110,
255,unicode,7E,111,
256,unicode,7F,234,
257,unicode,80,,
258,unicode,81,,
259,unicode,82,,
260,unicode,83,,
